"x","y","lst","local_g","cluster"
-5.6375,35.7625,28.0003001978807,-1.54848594894921,"Moderate Cool"
-5.6125,35.7625,28.0225225048739,-1.5238232771981,"Moderate Cool"
-5.5875,35.7625,27.8558560501349,-1.70387281581792,"Moderate Cool"
-5.5625,35.7625,27.6669675003302,-1.95049800165017,"Moderate Cool"
-5.5375,35.7625,27.5447448118672,-2.15270983890163,"Cold Spot (LL)"
-5.5125,35.7625,27.5225225048739,-2.30797634958369,"Cold Spot (LL)"
-5.4875,35.7625,27.4114116056905,-2.5890483538171,"Cold Spot (LL)"
-5.4625,35.7625,27.111411732847,-2.65114495379163,"Cold Spot (LL)"
-5.4375,35.7625,27.4114116056905,-2.56687115535006,"Cold Spot (LL)"
-5.4125,35.7625,27.7114121143168,-2.28061094494297,"Cold Spot (LL)"
-5.3875,35.7625,27.6780786538269,-2.14267344460067,"Cold Spot (LL)"
-5.3625,35.7625,27.5447448118672,-2.26802728022511,"Cold Spot (LL)"
-5.3375,35.7625,27.3530783942155,-2.305062647628,"Cold Spot (LL)"
-5.9625,35.7375,27.1003005793504,-3.22760229545604,"Cold Spot (LL)"
-5.9375,35.7375,27.1336338985552,-3.1340997182705,"Cold Spot (LL)"
-5.9125,35.7375,27.5891894258538,-2.5341869134145,"Cold Spot (LL)"
-5.8875,35.7375,27.9003006641214,-2.00194885450713,"Cold Spot (LL)"
-5.8625,35.7375,28.0891896377814,-1.58781005389487,"Moderate Cool"
-5.8375,35.7375,28.2558560925204,-1.2698109700119,"Moderate Cool"
-5.8125,35.7375,28.3891892986972,-1.0430184116037,"Moderate Cool"
-5.7875,35.7375,28.4447450661804,-0.902534638804804,"Moderate Cool"
-5.7625,35.7375,28.4891896801669,-0.833509956719241,"Moderate Cool"
-5.7375,35.7375,28.4669673731736,-0.858167431712383,"Moderate Cool"
-5.7125,35.7375,28.311411648076,-1.00613651223338,"Moderate Cool"
-5.6875,35.7375,28.0336338702982,-1.1222097065534,"Moderate Cool"
-5.6625,35.7375,28.0558559653639,-1.1911734888543,"Moderate Cool"
-5.6375,35.7375,28.1336340398403,-1.15906457538355,"Moderate Cool"
-5.6125,35.7375,28.1669675003302,-1.21077004481054,"Moderate Cool"
-5.5875,35.7375,28.1336340398403,-1.45964556167428,"Moderate Cool"
-5.5625,35.7375,27.7225228439581,-1.63504153514652,"Moderate Cool"
-5.5375,35.7375,27.7114119023891,-1.77303644629368,"Moderate Cool"
-5.5125,35.7375,27.8225228015726,-1.88624091606238,"Moderate Cool"
-5.4875,35.7375,27.6336338279127,-2.18708449724327,"Cold Spot (LL)"
-5.4625,35.7375,27.2003007488925,-2.37006636454039,"Cold Spot (LL)"
-5.4375,35.7375,27.3669669917039,-2.38212822300795,"Cold Spot (LL)"
-5.4125,35.7375,27.6669675003302,-2.13529584343335,"Cold Spot (LL)"
-5.3875,35.7375,27.7003009608201,-2.00466188628589,"Cold Spot (LL)"
-5.3625,35.7375,27.6336340398403,-2.18453828453784,"Cold Spot (LL)"
-5.3375,35.7375,27.3719672121086,-2.26733279145648,"Cold Spot (LL)"
-5.9625,35.7125,27.0403003504686,-2.8866446713245,"Cold Spot (LL)"
-5.9375,35.7125,27.3114118600036,-2.57520118151761,"Cold Spot (LL)"
-5.9125,35.7125,27.8114118600036,-2.01930528336386,"Cold Spot (LL)"
-5.8875,35.7125,28.0558559653639,-1.47943848923847,"Moderate Cool"
-5.8625,35.7125,28.23363442131,-1.11461699447668,"Moderate Cool"
-5.8375,35.7125,28.4114113937628,-0.816335926054181,"Moderate Cool"
-5.8125,35.7125,28.5669671188605,-0.542724393884807,"Moderate Cool"
-5.7875,35.7125,28.7003009608201,-0.333193911665619,"Moderate Cool"
-5.7625,35.7125,28.7669678817999,-0.23458868948869,"Moderate Cool"
-5.7375,35.7125,28.73363442131,-0.256790832989733,"Moderate Cool"
-5.7125,35.7125,28.6225228863437,-0.412099740066281,"Moderate Cool"
-5.6875,35.7125,28.466967161246,-0.557595908167116,"Moderate Cool"
-5.6625,35.7125,28.4114116056905,-0.683295406511985,"Moderate Cool"
-5.6375,35.7125,28.3780783571282,-0.818830211841809,"Moderate Cool"
-5.6125,35.7125,28.2558567283033,-0.986480027574074,"Moderate Cool"
-5.5875,35.7125,28.1336340398403,-1.24529651162109,"Moderate Cool"
-5.5625,35.7125,27.966967161246,-1.3637348038122,"Moderate Cool"
-5.5375,35.7125,27.9891892563117,-1.36617466898715,"Moderate Cool"
-5.5125,35.7125,28.1447451933369,-1.43499632653293,"Moderate Cool"
-5.4875,35.7125,27.9114118176181,-1.79989884135343,"Moderate Cool"
-5.4625,35.7125,27.3891897225524,-2.18003510803385,"Cold Spot (LL)"
-5.4375,35.7125,27.455856219677,-2.33024900696259,"Cold Spot (LL)"
-5.4125,35.7125,27.6891898073235,-2.13280238917256,"Cold Spot (LL)"
-5.3875,35.7125,27.73363442131,-1.90852542213346,"Moderate Cool"
-5.3625,35.7125,27.6780786538269,-2.036024370912,"Cold Spot (LL)"
-5.3375,35.7125,27.4651148784747,-2.22086544285746,"Cold Spot (LL)"
-5.3125,35.7125,27.4002998164109,-2.38585076966299,"Cold Spot (LL)"
-5.9625,35.6875,26.8678933273566,-2.67043275522931,"Cold Spot (LL)"
-5.9375,35.6875,27.3891895106248,-2.36747428980024,"Cold Spot (LL)"
-5.9125,35.6875,27.8336339550693,-1.73592960759306,"Moderate Cool"
-5.8875,35.6875,28.0558559653639,-1.27494241600374,"Moderate Cool"
-5.8625,35.6875,28.1891898073235,-0.959443761260362,"Moderate Cool"
-5.8375,35.6875,28.3891890867696,-0.700561863580227,"Moderate Cool"
-5.8125,35.6875,28.5780782723571,-0.419530165290107,"Moderate Cool"
-5.7875,35.6875,28.7558567283033,-0.200106943767344,"Moderate Cool"
-5.7625,35.6875,28.8780779332729,-0.0866715034583508,"Moderate Cool"
-5.7375,35.6875,28.8447451085659,-0.0546726640759364,"Moderate Cool"
-5.7125,35.6875,28.8336341669969,-0.11873793556997,"Moderate Cool"
-5.6875,35.6875,28.8225228015726,-0.185266839490932,"Moderate Cool"
-5.6625,35.6875,28.7669678817999,-0.261689240166598,"Moderate Cool"
-5.6375,35.6875,28.6336340398403,-0.488463880739421,"Moderate Cool"
-5.6125,35.6875,28.2558565163757,-0.767206624168884,"Moderate Cool"
-5.5875,35.6875,28.0891894258538,-1.04823850757346,"Moderate Cool"
-5.5625,35.6875,28.1669675003302,-1.10975541037692,"Moderate Cool"
-5.5375,35.6875,28.2780786114413,-0.942111368512295,"Moderate Cool"
-5.5125,35.6875,28.4003004521938,-0.949386753922597,"Moderate Cool"
-5.4875,35.6875,28.1558559229783,-1.3487523860424,"Moderate Cool"
-5.4625,35.6875,27.5114119871602,-1.89156485796552,"Moderate Cool"
-5.4375,35.6875,27.3114118600036,-2.12347251585258,"Cold Spot (LL)"
-5.4125,35.6875,27.73363442131,-2.02433090469432,"Cold Spot (LL)"
-5.3875,35.6875,27.7891899768656,-1.68424017704728,"Moderate Cool"
-5.3625,35.6875,27.8780781452006,-1.71657683067208,"Moderate Cool"
-5.3375,35.6875,27.622522674416,-1.84948467309911,"Moderate Cool"
-5.3125,35.6875,27.4245861682961,-2.15246831240823,"Cold Spot (LL)"
-5.2875,35.6875,26.8253007842138,-2.44643373395765,"Cold Spot (LL)"
-5.2625,35.6875,26.7003009608201,-2.31048562122976,"Cold Spot (LL)"
-5.9875,35.6625,26.850300791278,-2.81744108560066,"Cold Spot (LL)"
-5.9625,35.6625,27.125300568754,-2.69810760122962,"Cold Spot (LL)"
-5.9375,35.6625,27.6891895953959,-2.13444544295255,"Cold Spot (LL)"
-5.9125,35.6625,28.0225227168016,-1.49672117589888,"Moderate Cool"
-5.8875,35.6625,28.2114121143168,-1.13188484159621,"Moderate Cool"
-5.8625,35.6625,28.2669678817999,-0.880528741785449,"Moderate Cool"
-5.8375,35.6625,28.4225223353318,-0.685749336351755,"Moderate Cool"
-5.8125,35.6625,28.5447448118672,-0.451587846236339,"Moderate Cool"
-5.7875,35.6625,28.6891898073235,-0.266684419865362,"Moderate Cool"
-5.7625,35.6625,28.7447455748067,-0.158234089284118,"Moderate Cool"
-5.7375,35.6625,28.7447455748067,-0.106496806403902,"Moderate Cool"
-5.7125,35.6625,28.8003013422898,-0.0867390766590371,"Moderate Cool"
-5.6875,35.6625,28.8003013422898,-0.0202197365653607,"Moderate Cool"
-5.6625,35.6625,28.8336341669969,0.0167640726652108,"Moderate Warm"
-5.6375,35.6625,28.8447451085659,-0.232057829644961,"Moderate Cool"
-5.6125,35.6625,28.4225229711147,-0.562563471457146,"Moderate Cool"
-5.5875,35.6625,28.1558563468336,-0.868316501841795,"Moderate Cool"
-5.5625,35.6625,28.2891899768656,-0.900217312222488,"Moderate Cool"
-5.5375,35.6625,28.4669669493184,-0.631506933394381,"Moderate Cool"
-5.5125,35.6625,28.7003009608201,-0.586953111808507,"Moderate Cool"
-5.4875,35.6625,28.4447450661804,-0.954272614502882,"Moderate Cool"
-5.4625,35.6625,27.7891895530103,-1.56350849438542,"Moderate Cool"
-5.4375,35.6625,27.3891897225524,-1.83998326092127,"Moderate Cool"
-5.4125,35.6625,27.8447448966383,-1.76301916844228,"Moderate Cool"
